AMERICAN INDIAN OR ALASKA NATIVE	American Indian or Alaska Native
ASIAN	Asian
American Indian or Alaska Native	American Indian or Alaska Native
Asian	Asian
BLACK OR AFRICAN AMERICAN	Black or African American
Black or African American	Black or African American
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER	Native Hawaiian or Other Pacific Islander
Native Hawaiian or Other Pacific Islander	Native Hawaiian or Other Pacific Islander
WHITE	White
White	White
american indian or alaska native	American Indian or Alaska Native
asian	Asian
black or african american	Black or African American
native hawaiian or other pacific islander	Native Hawaiian or Other Pacific Islander
white	White
